1,2.4
1,10.3
1,5.2
1,2.3
1,4.7
1,1.5
1,9.1
1,1.2
1,1.1
2,20.1
2,15.3
2,9.6
2,16.1
2,16.2
2,1.5
2,1.2
2,7.8
2,2.4
2,4.4
2,4.3
2,3.4
2,3.5
2,11.2
2,11.1
3,8.3
3,8.2
3,8.5
3,3.1
3,8.4
3,9.5
3,4.3
3,2.1
3,1.5
3,1.4
3,1.3
3,11.1
3,9.4
3,9.3
4,6.3
4,7.2
4,1.3
4,1.2
4,1.1
4,5.1
4,5.2
4,2.1
4,10.15
5,3.1
5,5.2
5,4.5
5,4.3
5,7.4
5,7.1
5,1.2
5,1.1
6,5.1
6,8.1
6,5.2
6,1.7
6,9.2
6,1.2
6,9.3
6,1.1
7,3.1
7,5.4
7,4.5
7,4.6
7,7.5
7,7.3
7,7.4
7,7.1
7,1.3
7,7.2
7,1.2
7,1.1
8,16.1
8,18.2
8,18.1
8,1.1
8,8.3
8,8.2
8,13.1
8,14.4
8,14.5
8,8.4
8,14.6
8,14.8
8,8.1
8,10.3
8,10.2
8,10.9
8,10.7
8,10.8
8,21.1
8,7.5
8,7.6
8,7.4
8,5.3
8,5.1
8,2.1
8,2.2
9,8.19
9,1.9
9,5.9
9,8.11
9,8.12
9,1.4
9,1.2
9,7.8
9,6.9
9,12.1
9,8.22
9,9.1
9,8.6
9,9.3
9,6.2
9,6.7
9,7.5
9,7.6
9,5.5
9,7.11
9,5.3
9,5.2
9,7.13
9,7.12
9,2.3
9,2.2
9,7.14
10,10.3
10,10.2
10,9.5
10,6.2
10,6.1
10,6.4
10,6.5
10,1.4
10,1.3
10,1.2
10,1.1
10,3.2
10,3.1
10,4.2
10,3.3
10,14.1
10,14.2
10,12.2
10,9.1
11,17.9
11,16.3
11,16.1
11,16.7
11,1.5
11,1.9
11,17.6
11,16.10
11,17.3
11,1.3
11,17.2
11,17.1
11,1.1
11,14.3
11,8.4
11,11.2
11,11.1
11,19.1
11,19.3
11,19.2
11,7.3
11,4.1
11,5.4
11,3.3
12,3.2
12,5.3
12,5.4
12,2.1
12,3.3
12,1.6
12,1.5
12,1.4
12,1.2
13,3.15
13,1.8
13,1.7
13,1.6
13,3.2
13,3.4
13,3.3
13,2.3
13,2.2
13,3.16
13,3.19
13,1.12
14,3.2
14,5.1
14,4.2
14,3.3
14,1.6
14,1.5
14,6.1
14,1.3
14,1.2
14,1.1
15,8.2
15,3.2
15,5.3
15,4.1
15,5.1
15,5.2
15,6.2
15,6.3
15,6.1
15,6.4
15,7.5
15,7.3
15,1.1
16,3.1
16,5.3
16,4.5
16,4.2
16,6.1
16,1.5
16,1.4
16,1.3
16,1.2
16,1.1
17,1.7
17,1.5
17,1.4
17,2.3
17,1.2
17,2.2
18,1.20
18,1.6
18,1.5
18,1.16
18,1.3
18,2.5
18,2.4
18,3.2
18,4.1
18,4.2
